id,cat,lvl,q,A,B,C,D,answer,explain
r001,religion,1,,,,,,,
r002,religion,1,,,,,,,
r003,religion,1,,,,,,,
r004,religion,1,,,,,,,
r005,religion,1,,,,,,,
r006,religion,1,,,,,,,
r007,religion,1,,,,,,,
r008,religion,1,,,,,,,
r009,religion,1,,,,,,,
r010,religion,1,,,,,,,
r011,religion,1,,,,,,,
r012,religion,1,,,,,,,
r013,religion,1,,,,,,,
r014,religion,1,,,,,,,
r015,religion,1,,,,,,,
r016,religion,1,,,,,,,
r017,religion,1,,,,,,,
r018,religion,1,,,,,,,
r019,religion,1,,,,,,,
r020,religion,1,,,,,,,
r021,religion,1,,,,,,,
r022,religion,1,,,,,,,
r023,religion,1,,,,,,,
r024,religion,1,,,,,,,
r025,religion,1,,,,,,,
r026,religion,1,,,,,,,
r027,religion,1,,,,,,,
r028,religion,1,,,,,,,
r029,religion,1,,,,,,,
r030,religion,1,,,,,,,
r031,religion,1,,,,,,,
r032,religion,1,,,,,,,
r033,religion,1,,,,,,,
r034,religion,1,,,,,,,
r035,religion,1,,,,,,,
r036,religion,1,,,,,,,
r037,religion,1,,,,,,,
r038,religion,1,,,,,,,
r039,religion,1,,,,,,,
r040,religion,1,,,,,,,
r041,religion,1,,,,,,,
r042,religion,1,,,,,,,
r043,religion,1,,,,,,,
r044,religion,1,,,,,,,
r045,religion,1,,,,,,,
r046,religion,1,,,,,,,
r047,religion,1,,,,,,,
r048,religion,1,,,,,,,
r049,religion,1,,,,,,,
r050,religion,1,,,,,,,
r051,religion,1,,,,,,,
r052,religion,1,,,,,,,
r053,religion,1,,,,,,,
r054,religion,1,,,,,,,
r055,religion,1,,,,,,,
r056,religion,1,,,,,,,
r057,religion,1,,,,,,,
r058,religion,1,,,,,,,
r059,religion,1,,,,,,,
r060,religion,1,,,,,,,
r061,religion,1,,,,,,,
r062,religion,1,,,,,,,
r063,religion,1,,,,,,,
r064,religion,1,,,,,,,
r065,religion,1,,,,,,,
r066,religion,1,,,,,,,
r067,religion,1,,,,,,,
r068,religion,1,,,,,,,
r069,religion,1,,,,,,,
r070,religion,1,,,,,,,
r071,religion,1,,,,,,,
r072,religion,1,,,,,,,
r073,religion,1,,,,,,,
r074,religion,1,,,,,,,
r075,religion,1,,,,,,,
r076,religion,1,,,,,,,
r077,religion,1,,,,,,,
r078,religion,1,,,,,,,
r079,religion,1,,,,,,,
r080,religion,1,,,,,,,
r081,religion,1,,,,,,,
r082,religion,1,,,,,,,
r083,religion,1,,,,,,,
r084,religion,1,,,,,,,
r085,religion,1,,,,,,,
r086,religion,1,,,,,,,
r087,religion,1,,,,,,,
r088,religion,1,,,,,,,
r089,religion,1,,,,,,,
r090,religion,1,,,,,,,
r091,religion,1,,,,,,,
r092,religion,1,,,,,,,
r093,religion,1,,,,,,,
r094,religion,1,,,,,,,
r095,religion,1,,,,,,,
r096,religion,1,,,,,,,
r097,religion,1,,,,,,,
r098,religion,1,,,,,,,
r099,religion,1,,,,,,,
r100,religion,1,,,,,,,
r101,religion,2,,,,,,,
r102,religion,2,,,,,,,
r103,religion,2,,,,,,,
r104,religion,2,,,,,,,
r105,religion,2,,,,,,,
r106,religion,2,,,,,,,
r107,religion,2,,,,,,,
r108,religion,2,,,,,,,
r109,religion,2,,,,,,,
r110,religion,2,,,,,,,
r111,religion,2,,,,,,,
r112,religion,2,,,,,,,
r113,religion,2,,,,,,,
r114,religion,2,,,,,,,
r115,religion,2,,,,,,,
r116,religion,2,,,,,,,
r117,religion,2,,,,,,,
r118,religion,2,,,,,,,
r119,religion,2,,,,,,,
r120,religion,2,,,,,,,
r121,religion,2,,,,,,,
r122,religion,2,,,,,,,
r123,religion,2,,,,,,,
r124,religion,2,,,,,,,
r125,religion,2,,,,,,,
r126,religion,2,,,,,,,
r127,religion,2,,,,,,,
r128,religion,2,,,,,,,
r129,religion,2,,,,,,,
r130,religion,2,,,,,,,
r131,religion,2,,,,,,,
r132,religion,2,,,,,,,
r133,religion,2,,,,,,,
r134,religion,2,,,,,,,
r135,religion,2,,,,,,,
r136,religion,2,,,,,,,
r137,religion,2,,,,,,,
r138,religion,2,,,,,,,
r139,religion,2,,,,,,,
r140,religion,2,,,,,,,
r141,religion,2,,,,,,,
r142,religion,2,,,,,,,
r143,religion,2,,,,,,,
r144,religion,2,,,,,,,
r145,religion,2,,,,,,,
r146,religion,2,,,,,,,
r147,religion,2,,,,,,,
r148,religion,2,,,,,,,
r149,religion,2,,,,,,,
r150,religion,2,,,,,,,
r151,religion,2,,,,,,,
r152,religion,2,,,,,,,
r153,religion,2,,,,,,,
r154,religion,2,,,,,,,
r155,religion,2,,,,,,,
r156,religion,2,,,,,,,
r157,religion,2,,,,,,,
r158,religion,2,,,,,,,
r159,religion,2,,,,,,,
